ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
6,0.098,1.078097119980135,20.86,2.333,0.028,11557,-4
7,0.102,0.10367467279211906,18.44,2.061,0.04,11257,-4
8,0.106,0.6516260657690423,19.64,2.338,0.04,11465,-5
9,0.085,0.6975156324872686,19.95,2.375,0.04,11357,-2
10,0.084,0.3796576651409089,18.18,2.251,0.03,11679,-2
11,0.12,0.6817775594417752,19.53,2.301,0.047,11469,-2
12,0.129,0.9352210800962647,20.28,2.338,0.047,11040,-4
13,0.198,0.5237895916988311,19.58,2.144,0.015,7844,-2
14,0.201,0.9693407517773802,20.02,2.447,0.018,8074,-5
15,0.202,0.3821984609324949,19.48,2.081,0.015,8355,-5
16,0.139,0.5453464340257833,18.88,2.293,0.021,7836,-5
17,0.202,1.1811576108671085,20.57,2.4,0.018,8335,-5
18,0.184,0.26649418986039364,18.57,2.293,0.021,8477,-5
19,0.166,0.35317049190380045,19.3,2.206,0.021,7243,-5
20,0.193,0.5021496227211752,19.36,2.364,0.018,5860,-2
21,0.178,0.4764678276115771,19.2,2.332,0.022,5336,-3
22,0.211,0.22090062628444077,18.74,2.275,0.032,5763,-4
23,0.199,0.6851977337268326,20.08,2.212,0.026,6151,-2
24,0.188,0.912278614395122,20.05,2.382,0.013,5808,-5
25,0.188,0.48927889079888837,18.63,2.429,0.028,6138,-5
26,0.226,0.23021646569776769,19.39,2.136,0.032,4808,-3
27,0.229,0.7020695220130029,19.33,2.418,0.02,5832,-5
28,0.181,0.41993685658552554,19.58,2.133,0.026,5737,-3
29,0.224,0.5873628479061842,19.09,2.318,0.032,6488,-2
30,0.206,0.41955865277471627,19.34,2.238,0.02,4834,-4
31,0.201,1.3370869339421028,21.43,2.395,0.013,5927,-5
32,0.174,0.4995479364011412,19.29,2.218,0.018,5825,-4
33,0.222,0.6702170048982034,19.82,2.292,0.032,9862,-5
34,0.203,0.5051415547437528,19.08,2.144,0.02,11882,-4
35,0.195,0.8478383637774349,20.13,2.412,0.016,11158,-5
36,0.196,0.6558578794009831,19.43,2.344,0.016,12095,-5
37,0.175,0.4851961619061831,19.42,2.109,0.02,10913,-3
38,0.193,0.5356493075598465,19.79,2.125,0.032,10725,-4
39,0.108,0.5692775935230336,19.39,2.238,0.035,13336,-2
40,0.101,0.4834214347024163,19.48,2.281,0.035,12740,-2
41,0.111,1.4015512217607922,21.11,2.55,0.035,13406,-5
42,0.107,0.4463009717142151,20.02,1.987,0.035,12504,-2
43,0.112,0.5490238360127039,20.28,2.054,0.035,13576,-2
44,0.112,0.4994542317526815,19.34,2.066,0.035,13906,-2
45,0.11,0.2703689174550946,18.48,2.253,0.035,12306,-2
46,0.109,0.46841095795948745,20.56,2.046,0.035,12828,-2
47,0.105,0.5249988707295455,19.88,2.212,0.035,14215,-2
48,0.104,0.6759507253462095,20.72,1.944,0.035,13954,-2
49,0.105,1.01135036315401,20.46,2.272,0.035,14491,-2
50,0.105,0.7069505528188611,19.84,2.204,0.035,13605,-2
51,0.129,0.47233677944087316,19.67,2.07,0.032,9618,-2
52,0.107,0.8363456993134101,19.69,2.414,0.032,9752,-4
53,0.106,0.5248283418785823,19.35,2.304,0.032,9302,-5
54,0.1,0.47147923805316955,18.88,2.382,0.032,9167,-5
55,0.094,0.45581646496402634,19.49,2.224,0.032,9967,-2
56,0.084,0.6583422459988775,19.98,2.156,0.02,9596,-5
