# Galaxy      OtherID                RA              DEC      Type       D       e1     Method   A_V     MV_T      e2     M_K      e3        N_GC     e4   Source      sig_e    e5      R_e    e6    M_d     e6      M_G    e8      M_B     el      eu

IC4026          nid              13.0061434   28.0469936  S0     120.90    8.50   Hubble        0.029  -21.010   0.200 -23.861   0.115     650.0   190.0   65         142.70    5.80    4.22    0.30   10.903    0.038    8.25    0.11    -9999      -9999      -9999  
IC4041          nid              13.0113535   27.9964853  E      105.40    7.40   Hubble        0.029  -20.860   0.200 -23.452   0.118     470.0   160.0   65         135.60    3.90    5.83    0.41   10.999    0.034    8.10    0.13    -9999      -9999      -9999  
IC4045          nid              13.0135192   28.0907897  E      103.00    7.20   Hubble        0.031  -21.390   0.200 -24.168   0.104    1100.0   510.0   65         217.10    3.90    3.18    0.22   11.144    0.031    8.50    0.17    -9999      -9999      -9999  
IC4051          nid              13.0151330   28.0074725  E      129.40    9.10   Hubble        0.030  -21.260   0.200 -25.150   0.105    6700.0   530.0   47         250.10    5.10   12.19    0.86   11.851    0.032    9.28    0.03    -9999      -9999      -9999  
NGC4926          nid             13.0316005   27.6244299  E/S0   116.50    8.20   Hubble        0.030  -22.360   0.250 -25.443   0.103    1300.0   300.0   47         275.80    3.80    7.11    0.50   11.702    0.031    8.63    0.09    -9999      -9999      -9999  
NGC4980          nid             13.1528098  -28.6416627  Sa      24.80    1.80   Hubble        0.196  -19.900   0.200 -21.148   0.126      43.0    27.0   22           -9999      -9999      1.95    0.14    -9999       -9999       7.01    0.21    -9999      -9999      -9999  
ESO-269-58        nid            13.1758104  -46.9919891  I0       3.80    0.40   TRGB          0.291  -15.780   0.200 -17.305   0.110       8.0     3.0   37           -9999      -9999      0.66    0.10    -9999       -9999       6.08    0.14    -9999      -9999      -9999  
NGC5018          nid             13.2169453  -19.5182010  E3      36.20    6.00   SNIa/GCLF     0.317  -22.340   0.400 -25.094   0.101    1000.0   300.0   49         209.60    4.90    3.87    0.64   11.199    0.068    8.52    0.11    -9999      -9999      -9999  
NGC5128        CentaurusA        13.4244790  -43.0181183  E3p      3.80    0.07   TRGB          0.381  -21.260   0.200 -23.998   0.101    1300.0   300.0   43         150.00    7.00    6.15    0.12   11.110    0.029    8.57    0.09    7.71    0.13    0.19
ESO-509-G008        nid          13.4455899  -27.4393019  E/cD   155.00    8.00   Hubble        0.149  -23.350   0.200 -26.096   0.106    6000.0  1500.0   48         317.60   12.10   10.00    3.00   11.972    0.116    9.36    0.10    -9999      -9999      -9999  
ESO-444-G046        nid          13.4658010  -31.4954581  E/cD   205.00   10.00   Hubble        0.137  -23.800   0.200 -27.080   0.113   32500.0  8000.0   48         251.90   13.20   30.00    5.00   12.248    0.073   10.12    0.10    -9999      -9999      -9999  
NGC5170          nid             13.4968794  -17.9664979  Sc      21.58    4.36   TF            0.264  -20.800   0.590 -24.071   0.105     500.0   200.0   27/32       90.20   10.10    6.28    1.27   10.677    0.099    8.12    0.15    -9999      -9999      -9999  
NGC5194        M51               13.4979698   47.1951510  Sbc      7.62    0.43   PNLF          0.115  -21.160   0.200 -23.926   0.103     220.0    45.0   16          96.00    8.70    4.62    0.26   10.598    0.057    7.79    0.08    0.00    6.32    0.00
NGC5193          nid             13.5315347  -33.2339269  E       37.99    5.00   SBF           0.186  -21.530   0.330 -24.233   0.103    5878.0   355.0   74         205.70    6.20    4.20    0.55   11.219    0.056    9.24    0.03    -9999      -9999      -9999  
IC4296         A3565-BCG         13.6108474  -33.9658219  E       49.68    2.73   SBF           0.169  -23.080   0.200 -25.997   0.102    6400.0   300.0   74         322.00   16.00   10.71    0.59   12.014    0.037    9.37    0.02    9.13    0.06    0.07
NGC5236        M83               13.6169084  -29.8655630  Sc       4.61    0.28   Cepheids      0.218  -21.000   0.200 -23.723   0.103      43.0    12.0   70           -9999      -9999      4.11    0.25    -9999       -9999       7.07    0.11    -9999      -9999      -9999  
NGC5237          nid             13.6275152  -42.8468981  Irr      3.40    0.30   TRGB          0.263  -15.450   0.200 -17.835   0.119       3.0     2.0   37           -9999      -9999      0.40    0.10    -9999       -9999       5.64    0.22    -9999      -9999      -9999  
ESO-383-G076        nid          13.7912197  -32.8649733  E/cD   169.00    8.00   Hubble        0.148  -24.100   0.200 -26.842   0.107   22500.0  5500.0   48         322.60    9.20   55.00   20.00   12.726    0.135    9.98    0.09    -9999      -9999      -9999  
IC4329          nid              13.8181357  -30.2957340  E/S0    68.70    4.80   Hubble        0.168  -23.090   0.350 -26.148   0.103    2970.0   530.0   20         296.00    6.00   19.53    1.40   12.202    0.032    9.04    0.07    -9999      -9999      -9999  
NGC5322          nid             13.8208889   60.1903889  E3      31.19    3.48   SBF           0.047  -22.290   0.280 -25.315   0.104    1600.0   500.0   20         232.00    4.50    5.09    0.57   11.406    0.047    8.72    0.12    -9999      -9999      -9999  
NGC5457        M101              14.0534969   54.3490580  SABc     6.89    0.39   Cepheids/TRGB 0.028  -21.360   0.220 -23.682   0.112     150.0    40.0   16          73.10   23.80   11.50    0.65   10.757    0.166    7.64    0.10    -9999      -9999      -9999  
NGC5557          nid             14.3071234   36.4938702  E1      38.93    8.00   SBF           0.019  -21.960   0.500 -24.873   0.101    3500.0  1000.0   20         253.00    9.40    5.67    1.16   11.528    0.083    9.04    0.11    -9999      -9999      -9999  
ESO-223-09         nid           15.0190530  -48.2918413  IAB      6.49    0.60   TRGB          0.714  -16.470   0.200 -16.111   0.245       8.0     3.0   37           -9999      -9999      1.98    0.20    -9999       -9999       6.11    0.14    -9999      -9999      -9999  
NGC5813          nid             15.0198046    1.7020095  E1      32.21    2.78   SBF           0.189  -22.270   0.230 -25.147   0.105    2900.0   400.0   42a        236.50    3.40    8.93    0.77   11.667    0.037    8.98    0.06    8.84    0.07    0.07
NGC5845          nid             15.1002153    1.6339721  E       25.94    2.63   SBF           0.177  -19.770   0.260 -22.977   0.102     180.0    30.0   60         234.00   11.00    -9999      -9999      -9999       -9999       7.62    0.07    8.69    0.12    0.16
NGC5846          nid             15.1081241    1.6062912  E0      24.89    2.40   SBF           0.182  -22.120   0.250 -25.065   0.103    4670.0  1195.0   28         239.30    4.30    7.56    0.73   11.605    0.041    9.17    0.10    9.04    0.07    0.09
NGC5866          nid             15.1082150   55.7633012  S0-a    15.35    0.87   SBF           0.044  -21.080   0.200 -24.062   0.102     370.0    70.0   14/42a     159.00    9.80    3.01    0.17   10.850    0.043    8.01    0.08    -9999      -9999      -9999  
ESO-274-01        nid            15.2370622  -46.8091057  Scd      3.09    0.30   TRGB          0.704  -17.470   0.200 -19.169   0.113      10.0     3.0   37           -9999      -9999      1.68    0.20    -9999       -9999       6.25    0.11    -9999      -9999      -9999  
NGC5907          nid             15.2649038   56.3289056  SABc    13.22    2.63   TF            0.035  -20.300   0.550 -23.853   0.101     170.0    65.0   59           -9999      -9999      7.83    1.56    -9999       -9999       7.63    0.14    -9999      -9999      -9999  
UGC-9799       A2052-BCG         15.2790399    7.0214564  E/cD   151.00    8.00   Hubble        0.101  -23.100   0.200 -26.358   0.114   18000.0  4500.0   48         215.80   11.60    3.30    0.50   11.155    0.068    9.82    0.10    0.00    9.69    0.00
NGC5982          nid             15.6443806   59.3558889  E3      41.47    2.70   SBF           0.059  -22.020   0.200 -24.944   0.101    1497.0   202.0   92         238.90    4.90    4.79    0.31   11.406    0.030    8.67    0.05    -9999      -9999      -9999  
UGC-9958       A2107-BCG         15.6608126   21.7831069  E/cD   180.60    9.00   Hubble        0.159  -23.300   0.400 -26.393   0.108   27000.0 13000.0   43a/46a    295.20   14.30   37.10    4.00   12.478    0.050   10.01    0.17    -9999      -9999      -9999  
A2124-1        UGC-10012         15.7497222   36.1094444  E      284.20   19.90   Hubble        0.068  -23.500   0.200 -26.692   0.119   17900.0  4700.0   6          303.50   15.00    9.00    1.00   11.887    0.054    9.85    0.10    -9999      -9999      -9999  
A2147-1        UGC-10143         16.0380556   15.9747222  E      153.40   10.70   Hubble        0.086  -23.080   0.200 -25.706   0.107   13100.0  3300.0   6          277.70   16.50   23.36    1.63   12.224    0.045    9.68    0.10    -9999      -9999      -9999  
NGC6041A       A2151-1           16.0766111   17.7216667  S0     151.80   10.60   Hubble        0.119  -22.000   0.300 -25.949   0.106   19800.0  4900.0   6            -9999      -9999      -9999      -9999      -9999       -9999       9.79    0.10    -9999      -9999      -9999  
NGC6039        A2151-2           16.0776622   17.7009754  E/S0   150.60   10.50   Hubble        0.143  -22.080   0.240 -25.266   0.116    5030.0   300.0   6          202.00   11.60   12.32    0.86   11.670    0.044    9.20    0.03    -9999      -9999      -9999  
A2152-2        PGC57067          16.0906667   16.4427778  S0     136.40    9.60   Hubble        0.110  -21.420   0.200 -24.785   0.116    5100.0   340.0   6            -9999      -9999      -9999      -9999      -9999       -9999       9.17    0.03    -9999      -9999      -9999  
A2152-1        PGC57068          16.0914444   16.4358333  E      190.00   13.30   Hubble        0.110  -22.600   0.200 -25.716   0.108    7800.0  2060.0   6          304.20   25.80    2.35    0.30   11.306    0.070    9.43    0.10    -9999      -9999      -9999  
NGC6086        A2162-1           16.2098828   29.4844782  E      137.30    9.60   Hubble        0.124  -23.040   0.220 -25.729   0.105    9200.0  2500.0   7          334.40    9.50   16.23    1.13   12.228    0.034    9.53    0.10    9.56    0.16    0.16
ESO-137-18        nid            16.3497628  -60.4875927  Sasc     5.00    1.00   TRGB          0.667  -17.910   0.500 -18.551   0.124       7.0     3.0   37           -9999      -9999      1.02    0.10    -9999       -9999       6.12    0.15    -9999      -9999      -9999  
NGC6160        A2197-2           16.4613916   40.9260593  E      136.40    9.60   Hubble        0.016  -22.770   1.000 -25.897   0.107    4560.0  1080.0   7          251.20   10.60    -9999      -9999      -9999       -9999       9.20    0.09    -9999      -9999      -9999  
NGC6166        A2199-BCG         16.4773144   39.5513608  E/cD   130.40    9.10   Hubble        0.038  -23.700   0.270 -26.412   0.105   17000.0  4000.0   7          308.20    6.90   30.06    2.10   12.424    0.032    9.84    0.09    -9999      -9999      -9999  
NGC6173        A2197-1           16.4958098   40.8115694  E      125.80    8.80   Hubble        0.024  -23.410   0.280 -26.137   0.104    4600.0  2600.0   7          277.80   13.20   16.31    1.14   12.069    0.040    9.25    0.19    -9999      -9999      -9999  
NGC6384          nid             17.5400644    7.0603015  Sbc     25.94    4.54   TF            0.409  -22.060   0.420 -24.586   0.106      60.0    13.0   22         128.30    8.70   12.49    2.19   11.282    0.079    7.28    0.09    -9999      -9999      -9999  
NGC6482          nid             17.8635490   23.0719031  E       55.14    2.80   Hubble        0.328  -22.630   0.200 -25.371   0.101    1140.0    87.0   1a         309.80   11.70    -9999      -9999      -9999       -9999       8.59    0.03    -9999      -9999      -9999  
NGC6703          nid             18.7885588   45.5505326  E/S0    26.67    3.81   SBF           0.294  -21.100   0.440 -23.913   0.101     610.0   200.0   61         178.50    3.80    2.88    0.41   10.931    0.059    8.23    0.12    -9999      -9999      -9999  
NGC6822          nid             19.7491622  -14.8003417  Irr      0.52    0.05   Cepheids/RRL  0.659  -15.500   0.300 -16.927   0.110       7.0     1.0   52/100       -9999      -9999      -9999      -9999      -9999       -9999       6.02    0.15    -9999      -9999      -9999  
ESO-185-IG013        nid         19.7501465  -54.2508181  S       78.40    5.50   Hubble        0.149  -19.840   0.360 -21.607   0.149      20.0    10.0   1            -9999      -9999      -9999      -9999      -9999       -9999       6.67    0.18    -9999      -9999      -9999  
NGC6861          nid             20.1220790  -48.3702995  E/S0    28.05    5.06   SBF           0.180  -21.310   0.530 -24.551   0.101    1860.0   600.0   61         414.00   20.00    2.64    0.48   11.624    0.077    8.73    0.12    0.00    9.15    0.00
NGC6946          nid             20.5812748   60.1537739  SABc     6.08    0.62   PNLF          1.133  -21.240   0.330 -23.673   0.106      90.0    40.0   16           -9999      -9999      5.33    0.54    -9999       -9999       7.41    0.16    -9999      -9999      -9999  
NGC7014          nid             21.1311540  -47.1790166  E       49.46    3.40   SBF           0.109  -21.190   0.200 -24.332   0.103    1634.0    88.0   74         294.50    9.10    5.57    0.38   11.652    0.034    8.66    0.02    -9999      -9999      -9999  
NGC7049          nid             21.3164289  -48.5629004  S0      29.92    3.19   SBF           0.180  -21.890   0.270 -25.153   0.102    2700.0   800.0   20         246.50    3.90    4.62    0.49   11.417    0.045    8.92    0.11    -9999      -9999      -9999  
NGC7173          nid             22.0342610  -31.9737228  E       31.33    2.87   SBF           0.088  -20.540   0.330 -23.532   0.103     400.0    30.0   18         203.90    4.80    4.54    0.42   11.245    0.041    8.01    0.03    -9999      -9999      -9999  
IC5176          nid              22.2488373  -66.8493944  Sc      23.51    4.10   TF            0.085  -20.630   0.200 -23.126   0.104     132.0    25.0   39           -9999      -9999      2.22    0.39    -9999       -9999       7.54    0.08    -9999      -9999      -9999  
NGC7331          nid             22.6178186   34.4156195  Sbc     15.07    0.71   Cepheids      0.301  -21.710   0.200 -24.895   0.102     210.0   130.0   82         137.20    3.50    6.22    0.29   11.037    0.025    7.80    0.21    0.00    8.20    0.00
NGC7332          nid             22.6234762   23.7982595  S0      23.01    2.22   SBF           0.124  -20.830   0.250 -23.811   0.101     175.0    15.0   33/100a    124.90    3.30    1.64    0.16   10.376    0.043    7.67    0.04    7.11    0.17    0.21
NGC7339          nid             22.6297367   23.7867242  Sbc     23.10    2.22   TF            0.123  -20.390   0.250 -23.269   0.102      75.0    10.0   100a         -9999      -9999      -9999      -9999      -9999       -9999       7.28    0.05    -9999      -9999      -9999  
IC1459          nid              22.9529445  -36.4621765  E       29.24    4.02   SBF           0.043  -22.040   0.200 -25.530   0.103    2100.0   730.0   60         306.10    7.80    4.95    0.68   11.635    0.058    8.82    0.13    9.45    0.14    0.25
NGC7457          nid             23.0166472   30.1448889  S0      13.24    1.34   SBF           0.172  -19.580   0.250 -22.436   0.103     160.0    50.0   17/19/42    67.00    3.00    2.06    0.21    9.935    0.049    7.56    0.12    7.00    0.20    0.40
NGC7626          nid             23.3451444    8.2170556  E       47.42    2.24   SBF           0.240  -22.510   0.200 -25.374   0.102    2833.0   300.0   92         271.30    4.40    8.89    0.42   11.784    0.022    8.98    0.04    0.00    8.91    0.00
NGC7720        A2634-1           23.6415185   27.0316622  E      124.50    8.70   Hubble        0.228  -23.350   0.350 -26.225   0.105   18000.0  4600.0   7/48       359.10   10.70   18.53    1.29   12.347    0.034    9.84    0.10    -9999      -9999      -9999  
